,bsr_best,sd_price,sd_list_price,sd_previous_price,sd_number_bought_past_month,sd_average_rating,sd_total_reviews,sd_ratings_count,sd_stars,sd_rating_pct_1,sd_rating_pct_2,sd_rating_pct_3,sd_rating_pct_4,sd_rating_pct_5
6647,118.0,39.99,39.99,,300000000.0,3.5,43.0,,,,,,,
6648,1539.0,81.66,81.66,,,3.8,135.0,135.0,3.8,15.0,5.0,12.0,14.0,54.0
6649,386.0,119.99,119.99,,,3.8,1121.0,1121.0,3.8,18.0,5.0,8.0,13.0,56.0
6650,638.0,105.0,105.0,,50000000.0,4.3,121.0,121.0,4.3,7.0,2.0,9.0,18.0,64.0
6651,2416.0,67.99,67.99,,,3.5,102.0,102.0,3.5,,6.0,11.0,24.0,37.0
6652,1971.0,,,,,,,,,,,,,
6653,121.0,,,,400000000.0,,,,,,,,,
6654,124.0,,,,,4.0,83.0,,,,,,,
6655,6.0,9.97,9.97,,10000000.0,4.5,,,4.5,6.0,2.0,4.0,10.0,78.0
6656,,105.99,105.99,,,4.3,50.0,50.0,4.3,9.0,3.0,9.0,6.0,73.0
6657,,,,,,4.0,43.0,43.0,4.0,14.0,5.0,6.0,13.0,62.0
6658,196.0,99.99,99.99,99.99,50000000.0,3.6,112.0,112.0,3.6,,5.0,9.0,15.0,48.0
6659,28.0,12.98,12.98,15.98,10000000.0,4.4,,,4.4,6.0,2.0,6.0,12.0,74.0
6660,865.0,,,,,,,,,,,,,
6662,295.0,194.99,194.99,213.0,100000000.0,4.2,25.0,25.0,4.2,7.0,7.0,9.0,14.0,63.0
6663,104.0,,,,400000000.0,,,,,,,,,
6664,2.0,12.99,12.99,19.99,10000000.0,4.4,,,4.4,6.0,3.0,7.0,14.0,70.0
6665,171.0,88.44,88.44,83.34,200000000.0,3.9,653.0,653.0,3.9,15.0,5.0,9.0,11.0,60.0
6666,205.0,,,,100000000.0,,,,,,,,,
6667,44.0,9.98,9.98,12.99,10000000.0,4.6,,,,,,,,
6668,5.0,26.99,26.99,32.99,9000000.0,4.6,,,4.6,4.0,1.0,4.0,13.0,78.0
6669,10.0,7.99,7.99,9.99,10000000.0,4.6,,,,3.0,2.0,6.0,12.0,77.0
6670,399.0,,,,50000000.0,,,,,,,,,
6671,34.0,12.99,12.99,,10000000.0,4.4,527.0,,,,,,,
6672,1.0,20.99,20.99,29.99,10000000.0,4.6,,,,,,,,
6673,227.0,91.26,91.26,,100000000.0,4.1,556.0,,,,,,,
6674,1977.0,,,,,,,,,,,,,
6675,1.0,16.98,16.98,29.98,10000000.0,4.5,,,4.5,3.0,2.0,6.0,14.0,75.0
6677,212.0,,,,100000000.0,,,,,,,,,
6678,62.0,149.95,149.95,149.99,,4.0,2000.0,2000.0,4.0,16.0,4.0,6.0,11.0,63.0
6679,14.0,26.97,26.97,29.99,2000000.0,4.3,,,,,,,,
6680,3.0,5.94,5.94,,10000000.0,4.6,,,4.6,3.0,1.0,4.0,13.0,79.0
6681,507.0,109.99,109.99,,100000000.0,4.3,28.0,28.0,4.3,8.0,5.0,5.0,6.0,76.0
6682,32.0,5.79,5.79,,9000000.0,4.6,,,,,,,,
6683,10.0,79.99,79.99,,,4.2,2725.0,2725.0,4.2,8.0,5.0,6.0,14.0,67.0
6684,3.0,12.98,12.98,17.99,10000000.0,4.3,,,4.3,7.0,3.0,7.0,13.0,70.0
6685,1759.0,34.99,34.99,,,,,,,0.0,0.0,0.0,0.0,
6686,452.0,61.05,61.05,,,3.9,266.0,266.0,3.9,15.0,5.0,8.0,13.0,59.0
6687,652.0,48.6,48.6,,50000000.0,3.8,15.0,15.0,3.8,,0.0,9.0,16.0,53.0
6688,281.0,85.89,85.89,85.89,100000000.0,4.1,964.0,,,,,,,
6691,556.0,199.0,199.0,,,4.2,2326.0,2326.0,4.2,10.0,4.0,6.0,15.0,65.0
6692,5.0,19.99,19.99,29.99,8000000.0,4.4,,,,,,,,
6693,35.0,,,,7000000.0,,,,,,,,,
6694,17.0,6.99,6.99,10.3,10000000.0,4.6,,,,2.0,1.0,5.0,12.0,80.0
6695,216.0,,,,400000000.0,,,,,,,,,
6696,181.0,12.99,12.99,13.8,2000000.0,4.5,,,,,,,,
6697,3.0,19.95,19.95,29.99,3000000.0,4.3,2238.0,2238.0,4.3,6.0,3.0,8.0,14.0,69.0
6698,52.0,24.99,24.99,32.99,2000000.0,4.7,,,4.7,2.0,0.0,3.0,9.0,86.0
6699,85.0,64.99,64.99,69.99,1000000.0,4.3,121.0,121.0,4.3,9.0,2.0,5.0,15.0,69.0
6701,413.0,15.99,15.99,18.99,100000000.0,4.4,252.0,252.0,4.4,7.0,2.0,6.0,15.0,70.0
6702,19.0,5.59,5.59,6.98,5000000.0,4.5,,,4.5,5.0,2.0,5.0,12.0,76.0
6704,40.0,14.99,14.99,14.99,1000000.0,4.0,,,4.0,14.0,5.0,9.0,14.0,58.0
6705,1098.0,6.79,6.79,7.99,,4.6,2351.0,2351.0,4.6,1.0,1.0,5.0,15.0,78.0
6706,247.0,145.0,145.0,151.11,300000000.0,4.0,205.0,205.0,4.0,17.0,2.0,6.0,15.0,60.0
6707,5.0,19.99,19.99,,,4.3,,,4.3,6.0,4.0,9.0,12.0,69.0
