BSR_Group,Target,Feature_Set,Model,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,Train_Accuracy,Test_Accuracy,Train_F1,Test_F1,Train_ROC_AUC,Test_ROC_AUC,Test_Precision,Test_Recall,N_Samples,N_Features,Class_Balance
Cell Phones & Accessories,has_main_bsr,Top Features,XGBoost,0.9882207868467411,0.0031574933488488343,1.0,0.9663608562691132,1.0,0.9665653495440729,1.0,0.9877674696992368,0.9578313253012049,0.9754601226993865,1632,20,0.5
Cell Phones & Accessories,has_main_bsr,Top Features,RandomForest,0.9896887844979447,0.0036265615539221633,0.9961685823754789,0.963302752293578,0.996186117467582,0.9636363636363636,0.9999600710265973,0.9883660032919348,0.9520958083832335,0.9754601226993865,1632,20,0.5
Tools & Home Improvement,has_main_bsr,Top Features,LogisticRegression,0.9647047931658461,0.007394458739198939,0.9180695847362514,0.852017937219731,0.9191583610188261,0.852017937219731,0.9714112964175946,0.9358108108108107,0.8482142857142857,0.8558558558558559,1114,20,0.5
Tools & Home Improvement,has_main_bsr,Top Features,XGBoost,0.9695515437164218,0.006274503390431805,1.0,0.8789237668161435,1.0,0.8778280542986425,1.0,0.9625160875160876,0.8818181818181818,0.8738738738738738,1114,20,0.5
Tools & Home Improvement,has_main_bsr,Top Features,RandomForest,0.9708264949711737,0.00775516219156871,0.9977553310886644,0.8923766816143498,0.9977628635346756,0.8928571428571429,1.0,0.9577702702702703,0.8849557522123894,0.9009009009009009,1114,20,0.5
Video Games,has_main_bsr,Top Features,LogisticRegression,0.9856873070513347,0.007275211568440443,0.9606205250596659,0.9476190476190476,0.9608540925266904,0.9483568075117371,0.990168659326388,0.9687074829931972,0.9351851851851852,0.9619047619047619,1048,20,0.5
Video Games,has_main_bsr,Top Features,XGBoost,0.9945629456601918,0.002634394236115177,1.0,0.9523809523809523,1.0,0.9528301886792453,1.0,0.9795918367346939,0.9439252336448598,0.9619047619047619,1048,20,0.5
Video Games,has_main_bsr,Top Features,RandomForest,0.9961447832144905,0.0018004795194292778,1.0,0.9714285714285714,1.0,0.9719626168224299,1.0,0.9833106575963718,0.9541284403669725,0.9904761904761905,1048,20,0.5
Pet Supplies,has_main_bsr,Top Features,LogisticRegression,0.873958671427026,0.013396960582498781,0.8201530612244898,0.8163265306122449,0.8295042321644498,0.8163265306122449,0.8924276343190337,0.8854643898375676,0.8163265306122449,0.8163265306122449,980,20,0.5
Pet Supplies,has_main_bsr,Top Features,XGBoost,0.8968312818848359,0.019778010403072945,0.9987244897959183,0.7755102040816326,0.9987261146496815,0.7821782178217822,0.9999934922948771,0.8750520616409829,0.7596153846153846,0.8061224489795918,980,20,0.5
Pet Supplies,has_main_bsr,Top Features,RandomForest,0.9047666009204471,0.014000990208453145,0.9885204081632653,0.8112244897959183,0.9886506935687264,0.8159203980099502,0.9999804768846314,0.8976468138275718,0.7961165048543689,0.8367346938775511,980,20,0.5
Sports & Outdoors,has_main_bsr,Top Features,LogisticRegression,0.8668983106790291,0.020718586512549774,0.8020231213872833,0.7873563218390804,0.8028776978417266,0.7810650887573964,0.8822713755888936,0.8627295547628484,0.8048780487804879,0.7586206896551724,866,20,0.5
Sports & Outdoors,has_main_bsr,Top Features,XGBoost,0.9083157799981997,0.019022666642675035,0.9985549132947977,0.8563218390804598,0.9985569985569985,0.8587570621468926,0.9999916468976577,0.9129343374289867,0.8444444444444444,0.8735632183908046,866,20,0.5
