BSR_Group,Target,Feature_Set,Model,Model_Type,CV_R2_Mean,CV_R2_Std,Train_R2,Test_R2,Test_RMSE,Test_MAE,N_Samples,N_Features
Health & Household,Main BSR,All Features,LightGBM,nonlinear,0.28826691498221274,0.033388219078058556,0.8767532184556147,0.37793287124017705,1.6030799784309417,1.2248268889531713,3669,7581
Office Products,Main BSR,All Features,Linear Regression,linear,-11372.056855096213,11086.360494059385,0.8000743545723803,-1.8141061653222508,2.678922738805244,2.081467172367634,3420,7581
Office Products,Main BSR,All Features,Ridge,linear,-12.0860202486764,1.023538748643695,0.7990634087438505,-1.7440835587760164,2.6453833489302117,2.0540758542616953,3420,7581
Office Products,Main BSR,All Features,Random Forest,nonlinear,0.1860775570065232,0.0037743340562358544,0.8336163536198223,0.1671564370119989,1.4573761783647685,1.153078532961946,3420,7581
Office Products,Main BSR,All Features,XGBoost,nonlinear,0.23271262123328487,0.011919885481395118,0.863926985775562,0.21516337698743127,1.4147496004332825,1.0986482418064818,3420,7581
Office Products,Main BSR,All Features,LightGBM,nonlinear,0.25544748954625524,0.009092439061915194,0.8693136552937775,0.18677014291454253,1.4401131208394646,1.120088345367272,3420,7581
Baby,Main BSR,All Features,Linear Regression,linear,-68891.64780487948,97420.5113423606,0.8704173560449575,-383.3237365537149,32.10907280951017,3.723222404916552,2902,7581
Baby,Main BSR,All Features,Ridge,linear,-4.193472175280934,0.31936168663174674,0.86946638060779,-2.2534714772942888,2.9542868592191316,2.3393693493353305,2902,7581
Baby,Main BSR,All Features,Random Forest,nonlinear,0.11344887026214112,0.02107669191650927,0.7790607961874831,0.13461414682225392,1.5236459322145035,1.2093857219781328,2902,7581
Baby,Main BSR,All Features,XGBoost,nonlinear,0.1338037239390072,0.01771729702850014,0.8819433689882352,0.12454905257113169,1.5324808964212702,1.2067739813980594,2902,7581
Baby,Main BSR,All Features,LightGBM,nonlinear,0.1399093522456193,0.03179548270670462,0.8958177066250379,0.16168716366085223,1.4996234361282275,1.187264892063042,2902,7581
"Clothing, Shoes & Jewelry",Main BSR,All Features,Linear Regression,linear,-13.737022861592253,17.314870568560863,0.9992706246676248,-67.17357495231815,17.58063109185079,12.470595571670627,2140,7581
"Clothing, Shoes & Jewelry",Main BSR,All Features,Ridge,linear,-1.539379552449735,0.27865014415685874,0.9984601845100446,-7.343877317394718,6.150499415444784,4.451360332171936,2140,7581
"Clothing, Shoes & Jewelry",Main BSR,All Features,Random Forest,nonlinear,0.20354567527782272,0.005177672241055491,0.8581887325657062,0.30834579965922393,1.7708058007683556,1.3354334641454293,2140,7581
"Clothing, Shoes & Jewelry",Main BSR,All Features,XGBoost,nonlinear,0.2724407558751761,0.022838338401357315,0.941950059898185,0.3979055957467653,1.6521851794258908,1.2434151819474863,2140,7581
"Clothing, Shoes & Jewelry",Main BSR,All Features,LightGBM,nonlinear,0.3306793936531087,0.010851846976190084,0.9490084714530205,0.41913388741937607,1.622797937116338,1.207059156544797,2140,7581
Kitchen & Dining,Main BSR,All Features,Linear Regression,linear,-30.256994451966026,40.98552399740955,0.9997340191046113,-4.3487871398836315,4.7738428139293365,3.695200997463065,1729,7581
Kitchen & Dining,Main BSR,All Features,Ridge,linear,-0.9854373218985785,0.16130354289072993,0.9993883283387498,-3.024070470598656,4.140695042254853,3.2329327196733595,1729,7581
Kitchen & Dining,Main BSR,All Features,Random Forest,nonlinear,0.2082852567532514,0.04382602334592854,0.837449616999431,0.18774283035473094,1.8603181973748326,1.4206581039376036,1729,7581
Kitchen & Dining,Main BSR,All Features,XGBoost,nonlinear,0.24858688601358522,0.030676711673156328,0.9448468407801065,0.2307280102325755,1.8104244963254623,1.4100450088462209,1729,7581
Kitchen & Dining,Main BSR,All Features,LightGBM,nonlinear,0.245216242088387,0.022239165289183384,0.9605085688764845,0.24567208300099663,1.792753371791898,1.406577488190679,1729,7581
Electronics,Main BSR,All Features,Linear Regression,linear,-138.69512611840503,79.180943316014,0.9991659216871834,-155.00617129577162,21.846163061377283,17.257611846920614,1641,7581
Electronics,Main BSR,All Features,Ridge,linear,-1.0729849755404537,0.08598178287335916,0.9982571857107612,-2.8955426623889506,3.4521389198847556,2.715404071473041,1641,7581
Electronics,Main BSR,All Features,Random Forest,nonlinear,0.14590680642254628,0.007988649053550421,0.8372520559872605,0.174474547610173,1.5891669177075192,1.2464435975306658,1641,7581
Electronics,Main BSR,All Features,XGBoost,nonlinear,0.16301497528967826,0.03181789953643207,0.9353103869748833,0.20230748185466563,1.5621475103448415,1.2036712930400213,1641,7581
Electronics,Main BSR,All Features,LightGBM,nonlinear,0.15536102324173984,0.01533289674171511,0.9612693460210944,0.22933988881443435,1.535450153144993,1.2185810232875274,1641,7581
Cell Phones & Accessories,Main BSR,All Features,Linear Regression,linear,-67208.77454947877,95047.08967967058,0.9984717560695068,-305906.534296506,852.9960321053208,581.7690816361971,816,7581
Cell Phones & Accessories,Main BSR,All Features,Ridge,linear,-0.36461564304203303,0.06378967624484169,0.9982389725928164,-0.5063817743621513,1.8928641696630446,1.4325417804428753,816,7581
